
Alexey Pajitnov
American McGee
Chris Hecker
Dan Houser
Dave Lang
David Cage
David Jaffe
Derek Yu
Ed Boon
Edmund McMillen
Eric Barone
Gabe Newell
Harvey Smith
Hatsune Miku
Hideo Kojima
Jason West
Jeff Minter
John Carmack
John Drake
John Vignocchi
Jonathan Blow
Josef Fares
Ken Levine
Kenta Cho
Kim Swift
Koji Igarashi
Masahiro Sakurai
Mike Bithell
Paul Barnett
Peter Molyneux
Phil Fish
Sam Houser
Satoshi Tajiri
Shigeru Miyamoto
Shinji Hashimoto
Sid Meier
Swery
Tak Fujii
Tetsuya Mizuguchi
Tim Schafer
Vince Zampella
Warren Spector
Will Wright
